Valeur,Figure,Couleur,file
1,As,Carreau,Carreau_As.png
2,Roi,Carreau,Carreau_Roi.png
3,Dame,Carreau,Carreau_Dame.png
4,Valet,Carreau,Carreau_Valet.png
5,10,Carreau,Carreau_10.png
6,9,Carreau,Carreau_9.png
7,8,Carreau,Carreau_8.png
8,7,Carreau,Carreau_7.png
9,As,Trefle,Trefle_As.png
10,Roi,Trefle,Trefle_Roi.png
11,Dame,Trefle,Trefle_Dame.png
12,Valet,Trefle,Trefle_Valet.png
13,10,Trefle,Trefle_10.png
14,9,Trefle,Trefle_9.png
15,8,Trefle,Trefle_8.png
16,7,Trefle,Trefle_7.png
17,As,Coeur,Coeur_As.png
18,Roi,Coeur,Coeur_Roi.png
19,Dame,Coeur,Coeur_Dame.png
20,Valet,Coeur,Coeur_Valet.png
21,10,Coeur,Coeur_10.png
22,9,Coeur,Coeur_9.png
23,8,Coeur,Coeur_8.png
24,7,Coeur,Coeur_7.png
25,As,Pique,Pique_As.png
26,Roi,Pique,Pique_Roi.png
27,Dame,Pique,Pique_Dame.png
28,Valet,Pique,Pique_Valet.png
29,10,Pique,Pique_10.png
30,9,Pique,Pique_9.png
31,8,Pique,Pique_8.png
32,7,Pique,Pique_7.png
